item_id,category,question,reference_answer,rag_answer,vanilla_answer,author_rag_accuracy,author_vanilla_accuracy,author_notes
17,spanning,¿Qué acción POSEI cubre el mantenimiento de vides DOP y qué plaga de cuarentena las amenaza?,La Acción I.3; la filoxera (Daktulosphaira vitifoliae) es plaga de cuarentena.,"Acción I.3 del POSEI cubre el mantenimiento de vides DOP, mientras que Filoxera es la plaga que lo amenaza, siendo su cuarentena.","Lo siento, pero no tengo información sobre un producto específico llamado ""POSEI"" que se utilice para el mantenimiento de vides DOP. 

Sin embargo, puedo decirte que la protección de las vides es una práctica importante en la producción de vino en Canarias, y existen varios productos y métodos que se utilizan para controlar plagas y enfermedades.

Si ""POSEI"" era un producto específico que cubría el mantenimiento de vides DOP, probablemente sería utilizado para prevenir o controlar plagas y enfermedades comunes en la producción de vino, como la acideza del agua, los parásitos (moscas, pulgones, etc.) y otros problemas que pueden afectar la calidad del vino.

En cuanto a las plagas de cuarentena, es posible que te refieras al ""Pulgo de la vid"", que es una plaga común en la producción de vino. El Pulgo de la vid es un parásito que se alimenta de la sangre y los fluidos internos de la planta.",,,
18,spanning,"¿El aguacate tiene medida POSEI propia como el plátano y, si no, qué acción le corresponde?",No. El aguacate entra en la Acción I.1 (comercialización de frutas recolectadas en Canarias).,"No. El plátano es Medida II. Entra en Acción I.1 (comercialización) de frutas recolectadas en Canarias. Un lote rechazado por madurez, frío o plaga no cuenta. El aguacate entra también en Acción I.1 y tiene sus propias normas de comercialización: golpe, frío excesivo y antracnosis de postcosecha. No hay medida POSEI específica como el plátano; sigue en las normas generales del programa.","Hasta mi última actualización en diciembre de 2023, el aguacate (Persea americana) se considera un árbol y su medida se define por su diámetro del tronco o altura del árbol. Sin embargo, no hay una definición única global para la ""medida"" del aguacate como se hace con el plátano.

En algunos contextos agrícolas o hortopónicos, se puede utilizar la medida de altura hasta los 1 metro a 1,5 metros desde el suelo o la distancia desde la base del árbol al nivel del suelo y su diámetro en su punto máximo para un árbol, cuando está completamente desarrollado, en este caso se utiliza la medición de diámetro del tronco o altura del árbol.

Por lo tanto, dependiendo del contexto, es posible que se utilice una medida diferente al plátano.",,,
21,regulatory_compliance,¿En qué orden debe aplicar el asesor la GIP antes del químico?,"Prevención, seguimiento, medidas no químicas y solo después el químico autorizado, anotado en el CUE.","Según el texto, el asesor debe priorizar las medidas culturales y control biológico (GIP, RD 1311/2012) antes que el químico.","No tengo información específica sobre el uso de la GIP (Goma Isoprenida Poliuretano) en agricultura canaria, incluyendo su aplicación en relación con los productos químicos. La GIP se utiliza comúnmente como aditivo para ayudar a controlar la germinación y prolongar la vida útil de la pólvora explosiva, pero no tengo información sobre su uso específico en agricultura.

Sin embargo, puedo decirte que es importante seguir las instrucciones del fabricante y el asesoramiento local cuando se trata de aplicar químicos en el campo. Generalmente, se recomienda aplicar los productos químicos antes de la GIP para garantizar su eficacia y reducir el riesgo de interferencia.

Sin embargo, si estás preguntando sobre el uso de GIP como aditivo en la aplicación de productos químicos, es posible que debas seguir las instrucciones del fabricante y el asesoramiento local para determinar el orden adecuado de aplicación. En general, es recomendable consultar con un experto o un asesor local que tenga experiencia en el uso de productos químicos en agricultura canaria.

Si no tienes información específica sobre la GIP en agricultura canaria, te recomiendo buscar fuentes confiables y consultar con un experto local para obtener asesoramiento personalizado.",,,
22,regulatory_compliance,¿Qué registro hay que consultar antes de aplicar un fitosanitario?,Solo productos vigentes en el Registro Oficial de Productos Fitosanitarios del MAPA (regfiweb).,El registro MAPA (Registro Oficial de Productos Fitosanitarios) es el registro que debe consultarse antes de aplicar un fitosanitario.,"Antes de aplicar cualquier fitosanitario, es recomendable consultar el Registro Nacional de Fitosaniticidas (RNF) y los informes de evaluación de riesgos a la salud humana y al medio ambiente, así como el registro del producto específico. 

Este proceso se conoce como Evaluación Priorizada Pre-Mercado o EPPM para obtener información sobre su eficacia contra las plagas y enfermedades que afectan a los cultivos de Canarias",,,
23,regulatory_compliance,¿Qué no debe hacer el viticultor si hay sospecha de filoxera?,"No mover planta ni tierra, no arrancar por su cuenta ni repartir madera; avisar a Sanidad Vegetal y a la Agencia de Extensión Agraria.",No arrancar por su cuenta todo el pago ni repartir madera.,"Excelente pregunta!

Si un viticultor sospecha que su viña ha sido infectada por la filoxera (Phylloxera vastatrix), es importante que tome medidas de precaución para evitar la propagación del daño y proteger su producción. A continuación, te presento algunas recomendaciones sobre qué no debe hacer:

1. **No mover productos desde una viña afectada a otra**: La filoxera puede sobrevivir en objetos como cestas, cajas o utensilios, por lo que es importante evitar el transporte de materiales desde una viña infectada a otra.
2. **No utilizar agua sin tratar**: El agua sin tratar puede contener la larva adulta de la filoxera, que puede sobrevivir en el agua y propagarse a otras plantas. Se recomienda utilizar solo agua tratada con insecticidas específicos para controlar la filoxera.
3. **No realizar mantenimiento manual**: En caso de sospecha de infestación, no debe realizar trabajos manuales como riego, poda o limpieza en la zona afectada, ya que esto puede liberar huevos o larvas a la atmósfera y propagar el daño.
4. **No utilizar herbicidas o pesticidas sin autorización**: En caso de infestación, es importante no utilizar herbicidas o pesticidas sin autorizar a los profesionales adecuados que conocen el correcto manejo del producto para evitar problemas adicionales.

Es fundamental buscar asesoramiento y orientación de un profesional calificado en viticultura para implementar las medidas de control específicas y eficaces en caso de sospecha de filoxera.",,,
26,regulatory_fact,¿El aguacate tiene medida POSEI propia como el plátano?,No. Entra en la Acción I.1.,"No. Entra en la Acción I.1 (comercialización de frutas recolectadas en Canarias), igual que papaya, mango, batata u hortalizas, con las subacciones y anexos del consolidado.","Me baso en información disponible hasta mi fecha de corte: diciembre de 2023. Para aclarar la respuesta con certeza, sería mejor consultar directamente fuentes especializadas y actualizadas.

Sin embargo, puedo decirte que el aguacate y el plátano son ambos frutas que crecen en las plantas de la familia de las palmeras. Ambos tienen una estructura similar, pero con algunas diferencias importantes.

El plátano tiene una corteza gruesa y un interior más suave, mientras que el aguacate también tiene una corteza, pero es más delgada y se separa en trozos más pequeños. La forma de crecimiento de estos dos frutos también es diferente: el plátano se desarrolla a partir de un tallo largo y delgado, mientras que el aguacate se desarrolla a partir de una corteza que se separa en segmentos individuales.

En cuanto a la medida, no tengo información precisa sobre si el aguacate tiene una ""medida POSEI"" (supongo que te refieres a la unidad de medida del Peso Secco Oscuro y Equivalente por Immerso) propia como el plátano. La medición del peso seco oscuro y equivalente es una técnica utilizada para evaluar la calidad de los frutos, pero no sé si se aplica específicamente al aguacate.

En resumen, aunque ambos frutos son similares en algunas formas, no tengo información precisa sobre la medida POSEI del aguacate. Es posible que sea necesario consultar una fuente especializada para obtener más información actualizada y precisa.",,,
27,regulatory_fact,¿La papa de mesa es Acción I.1 o I.4?,"La papa de mesa tiene acción propia I.4 (superficie y comercialización), no se mezcla con la I.1.","La ayuda por hectárea para la papa de semilla se encuentra en la Acción I.4.1 y/o I.4.2, mientras que la papa de mesa tiene su propia acción (I.4: superficie + comercialización). No las mezcles con la I.1.","No tengo información específica sobre las variedades de papa de mesa en Canarias que estén asociadas a las claves ""Acción I.1"" y ""I.4"". Es posible que la clasificación de estas variedades sea diferente según la fuente o el región específica. Si necesitas más información, puedo tratar de ayudarte con otra cosa.",,,
28,regulatory_fact,¿Qué acciones POSEI están suprimidas?,"Las acciones I.2, III.3, III.8 y III.9 están suprimidas.","Según el texto, las acciones I.2, III.3, III.8 y III.9 están **suprimidas**.","Hasta donde llega mi conocimiento en 2023, Poseidon Energy (POSEI) es una empresa británica de energía geotérmica con operaciones principales en Canarias. 

Sin embargo, no tengo información específica sobre las acciones que se suprimen en la industria de la energía geotérmica o en Poseidon Energy.",,,
31,traceability,¿Qué decreto crea el REAC y cuándo se publicó en el BOC?,"El Decreto 18/2025, de 10 de marzo; BOC del 17 de marzo de 2025.","El REAC, cuaderno digital (CUE) y REA de insumos está relacionado con el Decreto 18/2025, de 10 de marzo. Este decreto es el que crea el Registro de Explotaciones Agrícolas de Canarias (REAC).","Lo siento, pero no tengo información específica sobre un decreto creado por el REAC (Consejo Regional de Agronomía Canaria) que se publique en el Boc (Boletín Oficial de las Islas Canarias).",,,
32,traceability,¿Dónde se consulta el registro oficial de fitosanitarios?,En https://servicio.mapa.gob.es/regfiweb/,Se puede consultar el registro oficial de fitosanitarios en el sitio web del Registro Oficial de Productos Fitosanitarios (regfiweb) de la Dirección General de Agricultura.,"En Canarias, el registro oficial de fitosanitarios está disponible en la página web del Servicio Central de Sanidad Agroalimentaria y de Consumo (SEASCA), que es el organismo responsable de la regulación de la calidad de los productos agrícolas y de la seguridad alimentaria en España.

Puedes acceder a la información sobre fitosanitarios, registro, autorización y supervisión, desde aquí: https://www.seasca.gob.es/",,,
33,traceability,¿Cuál es la dirección del Laboratorio de Sanidad Vegetal según el corpus?,"Carretera del Boquerón s/n, dependencias del ICIA, Valle Guerra, San Cristóbal de La Laguna (Tenerife).","Carretera del Boquerón s/n, dependencias del ICIA, Valle Guerra, San Cristóbal de La Laguna (Tenerife).","Lo siento, pero no tengo información específica sobre la ubicación exacta del Laboratorio de Sanidad Vegetal en mi base de conocimientos. La información puede variar y podría requerir actualizaciones recientes. Si necesitas detalles específicos o información actualizada, te recomendaría consultar fuentes oficiales u organizaciones relacionadas con la agricultura canaria para obtener la información más precisa.",,,
